,rates
AED,4.213184
AFN,120.442815
ALL,122.45015
AMD,551.546062
ANG,2.068211
AOA,607.947773
ARS,118.992
AUD,1.571428
AWG,2.065303
AZN,1.950863
BAM,1.957992
BBD,2.3169589999999998
BDT,98.659989
BGN,1.9562789999999999
BHD,0.432608
BIF,2302.746663
BMD,1.147072
BND,1.543825
BOB,7.912273
BRL,6.3249189999999995
BSD,1.147567
BTC,2.6318297e-05
BTN,84.713826
BWP,13.235817
BYN,2.935942
BYR,22482.607524
BZD,2.313055
CAD,1.430691
CDF,2301.025868
CHF,1.043589
CLF,0.034080000000000006
CLP,940.426599
CNY,7.294574
COP,4528.444513
CRC,731.99841
CUC,1.147072
CUP,30.397403
CVE,111.266163
CZK,24.468412999999998
DJF,204.282045
DKK,7.441354
DOP,66.128964
DZD,160.163333
EGP,18.025776
ERN,17.2061
ETB,56.676767
EUR,1.0
FJD,2.439247
FKP,0.834977
GBP,0.8348329999999999
GEL,3.527247
GGP,0.8349759999999999
GHS,7.083181
GIP,0.8349759999999999
GMD,60.737672
GNF,10415.412292
GTQ,8.84751
GYD,240.086195
HKD,8.935403
HNL,28.131878
HRK,7.518713
HTG,116.400073
HUF,354.726196
IDR,16400.660713
ILS,3.565317
IMP,0.8349759999999999
INR,84.746296
IQD,1674.724846
IRR,48469.519528
ISK,147.203589
JEP,0.834977
JMD,177.623488
JOD,0.813225
JPY,131.065588
KES,130.020927
KGS,97.271343
KHR,4674.318064
KMF,494.840649
KPW,1032.364811
KRW,1357.651429
KWD,0.346359
KYD,0.9563689999999999
KZT,499.112512
LAK,12944.704972
LBP,1735.520149
LKR,232.809657
LRD,170.336963
LSL,17.720009
LTL,3.387005
LVL,0.6938529999999999
LYD,5.265291
MAD,10.560763
MDL,20.647102
MGA,4548.139908
MKD,61.682045
MMK,2040.348217
MNT,3279.284645
MOP,9.20859
MRO,409.50444
MUR,50.243353
MVR,17.722049
MWK,936.01004
MXN,23.362465
MYR,4.801704
MZN,73.217422
NAD,17.662799
NGN,475.005068
NIO,40.620506
NOK,9.941322
NPR,135.543465
NZD,1.66696
OMR,0.44168799999999997
PAB,1.147567
PEN,4.469563
PGK,4.043441
PHP,58.618241
PKR,202.171627
PLN,4.5329180000000004
PYG,7969.035644
QAR,4.176483
RON,4.943651
RSD,117.580591
RUB,87.588146
RWF,1191.135476
SAR,4.30503
SBD,9.261857
SCR,15.474529
SDG,501.84499
SEK,10.225973
SGD,1.543368
SHP,1.5799729999999998
SLL,13019.264652
SOS,671.037047
SRD,24.321941
STD,23742.070589
SVC,10.041089
SYP,2881.444135
SZL,17.619936
THB,38.105085
TJS,12.949776
TMT,4.026222
TND,3.265137
TOP,2.615088
TRY,15.509215
TTD,7.809925
TWD,31.668591
TZS,2647.441894
UAH,31.839763
UGX,4046.097916
USD,1.147072
UYU,51.231803
UZS,12457.200175
VEF,245278620689.81784
VND,26055.736219
VUV,130.389275
WST,2.996545
XAF,656.690829
XAG,0.049692
XAU,0.0006309999999999999
XCD,3.100019
XDR,0.818615
XOF,663.007656
XPF,120.299126
YER,287.054962
ZAR,17.644375
ZMK,10325.022829
ZMW,19.651603
ZWL,369.356656
